ORDEN,FECHA,AÑO,MES,DÍA_SEMANA_NOMBRE,GRAVEDAD,PEATON,AUTOMOVIL,CAMPAERO,CAMIONETA,CAMION,MOTO,VIA 1,BARRIO,HORA,ENTIDAD,nombrecomuna,Propietario de Vehículo,DIURNIO/NOCTURNO,HORA RESTRICCION MOTO,DÍA_MES_NUM,DÍA_SEMANA_NUM,MES_NUM
1,2012-01-01,2012,0,6,0,0,1,0,0,0,0,41,158,1051,1,17,1,0,2,1,7,1
2,2012-01-01,2012,0,6,4,0,1,0,1,0,0,93,195,87,1,1,0,0,2,1,7,1
3,2012-01-01,2012,0,6,4,0,0,0,1,0,0,53,42,1027,1,12,1,0,2,1,7,1
4,2012-01-01,2012,0,6,4,0,1,0,1,0,0,53,165,482,1,2,1,1,2,1,7,1
5,2012-01-01,2012,0,6,0,1,0,0,0,0,1,53,63,1072,1,11,1,1,1,1,7,1
6,2012-01-01,2012,0,6,4,0,1,0,0,0,1,41,223,755,1,5,1,1,6,1,7,1
7,2012-02-01,2012,0,0,0,1,0,0,0,0,0,53,122,71,1,9,0,0,2,1,3,2
8,2012-02-01,2012,0,0,4,0,0,0,2,0,0,87,31,564,1,8,1,1,2,1,3,2
9,2012-02-01,2012,0,0,4,0,1,0,0,0,0,53,195,1027,1,1,0,0,2,1,3,2
10,2012-02-01,2012,0,0,0,0,1,0,0,0,0,53,230,310,1,0,1,0,2,1,3,2
11,2012-02-01,2012,0,0,4,0,2,0,0,0,0,41,228,482,1,12,1,1,2,1,3,2
12,2012-02-01,2012,0,0,4,0,0,0,0,1,1,5,165,669,1,1,0,0,6,1,3,2
13,2012-02-01,2012,0,0,0,0,0,0,0,0,1,41,88,63,1,10,1,0,6,1,3,2
14,2012-03-01,2012,0,1,0,0,1,0,0,0,1,53,182,354,1,10,1,0,6,1,4,3
15,2012-03-01,2012,0,1,0,0,0,0,0,0,1,53,167,505,1,12,0,0,6,1,4,3
16,2012-03-01,2012,0,1,4,0,0,0,0,1,0,5,43,858,1,0,0,1,2,1,4,3
17,2012-03-01,2012,0,1,4,0,0,0,1,0,1,41,48,452,1,15,1,1,6,1,4,3
18,2012-03-01,2012,0,1,4,0,1,0,1,0,0,33,48,433,1,15,1,0,2,1,4,3
19,2012-03-01,2012,0,1,0,0,1,0,0,0,1,53,48,281,1,15,0,0,6,1,4,3
20,2012-04-01,2012,0,2,4,0,1,0,1,0,0,53,16,482,1,13,1,1,2,1,7,4
21,2012-04-01,2012,0,2,4,0,3,0,0,0,0,41,20,529,1,9,0,1,2,1,7,4
22,2012-04-01,2012,0,2,4,0,1,0,0,0,1,53,25,1051,1,12,1,0,6,1,7,4
23,2012-04-01,2012,0,2,4,0,1,0,0,0,0,33,137,71,1,13,1,0,2,1,7,4
24,2012-04-01,2012,0,2,4,0,1,0,1,0,0,53,145,971,1,11,1,0,2,1,7,4
25,2012-04-01,2012,0,2,0,0,0,0,0,0,2,53,122,703,1,9,1,1,6,1,7,4
26,2012-04-01,2012,0,2,4,0,1,0,0,0,0,0,197,686,1,3,1,1,2,1,7,4
27,2012-04-01,2012,0,2,0,0,0,1,0,0,1,53,8,174,1,2,1,0,6,1,7,4
28,2012-04-01,2012,0,2,4,0,1,0,0,0,1,41,194,433,1,6,0,0,6,1,7,4
29,2012-04-01,2012,0,2,0,0,1,0,0,0,1,41,194,497,1,6,1,1,6,1,7,4
30,2012-05-01,2012,0,3,0,0,1,0,0,0,0,53,18,1,1,13,0,0,2,1,2,5
31,2012-05-01,2012,0,3,0,0,0,0,0,1,1,41,48,408,1,15,1,0,6,1,2,5
32,2012-05-01,2012,0,3,0,0,1,0,0,0,1,53,58,614,1,12,1,1,6,1,2,5
33,2012-05-01,2012,0,3,4,0,0,0,2,0,0,41,8,764,1,2,1,0,2,1,2,5
34,2012-05-01,2012,0,3,0,0,1,0,0,0,2,33,167,807,1,12,1,0,6,1,2,5
35,2012-05-01,2012,0,3,0,1,1,0,0,0,0,33,8,790,1,2,1,0,2,1,2,5
36,2012-05-01,2012,0,3,4,0,1,0,0,1,0,0,197,738,1,3,1,0,2,1,2,5
37,2012-05-01,2012,0,3,0,1,0,0,1,0,0,53,18,908,1,13,1,0,2,1,2,5
38,2012-05-01,2012,0,3,4,0,2,0,0,0,0,8,20,555,1,9,1,0,2,1,2,5
39,2012-05-01,2012,0,3,4,0,1,0,1,0,0,41,111,790,1,13,1,0,2,1,2,5
40,2012-05-01,2012,0,3,4,0,1,0,0,0,1,41,148,877,1,13,0,0,6,1,2,5
41,2012-05-01,2012,0,3,0,1,1,0,0,0,1,53,42,281,1,12,1,0,6,1,2,5
42,2012-06-01,2012,0,4,4,0,1,0,1,0,0,41,93,867,1,3,0,0,2,1,5,6
43,2012-06-01,2012,0,4,4,0,0,0,0,0,0,48,197,264,1,3,1,0,2,1,5,6
44,2012-06-01,2012,0,4,4,0,1,0,0,0,0,17,194,187,1,6,1,0,2,1,5,6
45,2012-06-01,2012,0,4,0,1,1,0,0,0,0,33,214,201,1,13,0,0,2,1,5,6
46,2012-06-01,2012,0,4,0,1,0,0,0,0,0,41,148,686,1,13,0,1,2,1,5,6
47,2012-06-01,2012,0,4,4,0,1,0,1,0,0,53,25,1005,1,12,1,0,2,1,5,6
48,2012-06-01,2012,0,4,0,0,2,0,0,0,0,10,99,398,1,8,0,1,2,1,5,6
49,2012-06-01,2012,0,4,0,0,0,0,0,0,1,41,112,738,1,5,1,0,6,1,5,6
50,2012-06-01,2012,0,4,4,0,1,0,0,0,1,41,48,582,1,15,1,1,6,1,5,6
51,2012-07-01,2012,0,5,4,0,1,0,0,0,1,41,48,341,1,15,0,0,6,1,7,7
52,2012-07-01,2012,0,5,4,0,0,0,1,0,0,53,56,521,1,2,1,1,2,1,7,7
53,2012-07-01,2012,0,5,4,0,1,0,0,0,1,66,122,754,1,9,1,0,6,1,7,7
54,2012-07-01,2012,0,5,4,0,1,0,1,0,0,53,42,482,1,12,1,1,2,1,7,7
55,2012-07-01,2012,0,5,0,0,1,0,0,0,1,8,19,807,1,9,1,0,6,1,7,7
56,2012-07-01,2012,0,5,4,0,1,1,0,0,0,41,42,1005,1,12,1,0,2,1,7,7
57,2012-07-01,2012,0,5,4,0,2,0,0,0,0,53,113,895,1,5,1,1,2,1,7,7
58,2012-07-01,2012,0,5,0,0,1,0,0,0,1,53,113,133,1,5,1,0,6,1,7,7
59,2012-08-01,2012,0,6,0,1,0,0,0,0,0,53,43,859,1,0,0,0,2,1,3,8
60,2012-08-01,2012,0,6,0,1,0,0,0,0,1,10,175,303,1,8,1,0,6,1,3,8
61,2012-08-01,2012,0,6,4,0,1,0,0,0,1,53,214,0,1,13,0,1,1,1,3,8
62,2012-08-01,2012,0,6,4,0,1,0,1,0,0,78,122,840,1,9,1,0,2,1,3,8
